Reagent Name,Type,Description,Common Uses,Virtue,Quality,Motion,Location
Ironthorn Ore,Geological,Dark spiky ore that resists enchantment.,Courage draughts and protective salves.,Resistance and boundary,Warm and Dry,Closing and Sinking,"Mountains, ridges, and uplands"
Emberseed,Botanical,Small red seed that restores warmth and inner fire.,"Warming draughts, cordials, and hearth tonics.",Gentle inner warmth,Warm and Dry,Quickening,"Hills, scrubland, and hearth-sites"
Red Hearth Salt,Geological,Red-orange salt associated with domestic fire.,Warming draughts and hearth tonics.,Preserved warmth,Warm and Dry,Closing and Quickening,Prepared from ash and clay
Frostmint,Botanical,Blue-green herb that calms heat and agitation.,"Fever draughts, cooling washes, and anti-rage philtres.",Cooling and calming,Cool and Moist,Stilling and Sinking,"Springs, streams, and meadows"
Blue Cave Salt,Geological,Pale blue salt that cools and steadies.,"Sleep draughts, fever remedies, and cooling tinctures.",Cooling steadiness,Cool and Dry,Stilling and Closing,"Caves, springs, and grottos"
Amber Salt,Alchemical,Golden salt that preserves warmth and fixes mixtures.,Warming draughts and preservation syrups.,Preservation and warm binding,Warm and Dry,Closing,"Forests, salt flats, and springs"
Grave Salt,Geological,Gray-white salt associated with silence and stasis.,Stasis powders and preservation seals.,Stillness and arrest,Cool and Dry,Stilling and Closing,Caves and underground pockets
Black Granite Dust,Geological,Grounding powder that keeps forces from rising.,"Warding powders, stabilizers, and containment seals.",Weight and containment,Cool and Dry,Sinking and Closing,"Mountains, ravines, and riverbeds"
Star Quartz,Geological,Clear crystal that aligns and focuses purpose.,Wayfinder elixirs and navigation tinctures.,Guidance and alignment,Warm and Dry,Rising and Opening,"Mountains, deserts, and caves"
Pearl Ash,Alchemical,Smooth white ash that softens and harmonizes.,Clear-sight elixirs and stomach-soothing draughts.,Smoothing and harmonizing,Cool and Moist,Turning and Closing,"Coasts, shores, and coral beds"
Amber Honey,Animal-Botanical,Thick golden honey that nourishes and preserves.,"Restorative draughts, cordials, and tonics.",Harmony and nourishment,Warm and Moist,Closing and Opening,"Forests, groves, and meadows"
Pale Honey,Animal-Botanical,Gentle honey from spring flowers.,Cooling draughts and mild restoratives.,Gentle harmony,Moist,Closing and Stilling,"Meadows, orchards, and gardens"
Dragon-Coal Cinder,Geological,Black-red cinder that ignites transformation.,Forge elixirs and mineral refinement.,Fierce ignition and transformation,Warm and Dry,Quickening and Turning,"Mines, volcanic seams, and caves"
Binding Clay,Geological,Smooth clay that gathers forces and gives form.,"Poultices, sealing plugs, and salves.",Cohesion and containment,Moist and Dry,Closing and Sinking,"Riverbanks, marshes, and fields"
Basilisk Scale Flake,Animal-Magical,Shed scale that arrests and hardens motion.,Petrification antidotes and warding lacquers.,Arrest and hardening,Cool and Dry,Stilling and Closing,"Caves, ruins, and deserts"
Stag Velvet,Animal,Shed antler covering; encourages strength and growth.,"Mending draughts, growth elixirs, and endurance tonics.",Growth and noble vigor,Warm and Moist,Opening and Quickening,"Deep, Dark Forest and meadows"
Silverworm Silk,Animal,Fine pale silk that binds and preserves continuity.,Mending salves and dream nets.,Binding and continuity,Moist,Closing,"Caves, ruins, and wells"
Owlshade Feather,Animal,Shed nocturnal feather carrying silence.,"Night-sight potions, stealth draughts, and focus tinctures.",Night perception and silence,Cool and Dry,Stilling and Opening,"Deep, Dark Forest and barns"
Mothwing Scale,Animal,Dust from lunar moths; softens perception.,"Night-sight potions, dream lamps, and calming incense.",Soft light and delicate perception,Cool and Moist,Rising and Opening,"Orchards, clearings, and gardens"
Deep-Eel Oil,Animal,Oil from subterranean eels; aids passage.,"Joint salves, water-breathing oils, and escape draughts.",Passage and slipperiness,Cool and Moist,Opening and Sinking,"Underground rivers, wells, and pools"
Ghostwax,Animal-Botanical,Pale wax from spirit-touched bees; seals quietly.,Dream candles and slow-release potions.,Sealing and slow release,Cool and Moist,Closing and Stilling,"Ruins, orchards, and fields"
Sunwater,Elemental,Water exposed to sunlight; carries outward force.,"Courage draughts, light elixirs, and anti-gloom cordials.",Brightness and awakening,Warm and Moist,Rising and Quickening,"Hilltops, windows, and fields"
Dew Water,Elemental,Morning moisture; receptive and clarifying.,Clear-sight elixirs and perception tinctures.,Fresh reception and clarity,Cool and Moist,Opening and Rising,"Meadows, gardens, and leaves"
Pale Resin,Botanical,Light resin that burns with soft smoke.,Incense cones and dream-room preparations.,Calm preservation,Cool and Dry,Stilling and Closing,"Forests, groves, and orchards"
Soot Ink Base,Alchemical,Dark liquid base that holds written intention.,Vanishing inks and charm scripts.,Inscription and retention,Dry and Moist,Closing,Prepared from soot and binder
Balm-Fat,Alchemical,Soft base used to carry virtues through the skin.,Protective salves and mending salves.,Carrying and softening,Moist,Sinking and Closing,Prepared from fat and wax
White Balm,Alchemical,Pale salve base for delicate skin.,Mending salves and beauty salves.,Soft restoration,Cool and Moist,Closing and Stilling,Prepared from waxes and roots
Fruit Syrup Base,Botanical,Sweetened base providing nourishment.,"Cordials, draughts, and travel tonics.",Nourishment and carrying,Warm and Moist,Opening and Closing,Prepared from fruit and berries
Mild Clear Spirit,Alchemical,Purified spirit used to extract volatile virtues.,"Tinctures, elixirs, and resin solutions.",Extraction and preservation,Warm and Dry,Opening and Rising,Prepared in distilleries
"Knotgrass Root","Botanical","A pale knotted root that eases tightness where sinew grips bone.","Joint salves, stiffness draughts, and elder's liniments.","Unbinding of stiffness","Cool and Moist","Opening and Sinking","Meadows, footpaths, and cottage gardens"
"Willowmilk Bark","Botanical","Soft white inner bark that quiets aches without clouding the head.","Headache teas, backache draughts, and fever-support bitters.","Pain quieting","Cool and Moist","Stilling and Sinking","Riverbanks, wet woods, and pond edges"
"Warmfen Mud","Geological","Mineral-rich brown mud that holds steady warmth for slow poultices.","Joint poultices, muscle wraps, and winter-foot packs.","Deep warmth and drawing","Warm and Moist","Sinking and Opening","Marshes, hot springs, and peat fens"
"Marrowleaf","Botanical","Broad green leaf with pale ribs used to nourish weary limbs.","Fatigue draughts, convalescent broths, and laborer's tonics.","Bodily replenishment","Warm and Moist","Sinking and Closing","Kitchen gardens, hedgerows, and shaded fields"
"Sleepbarley","Botanical","Small blue-gray grain that settles restless nerves when lightly roasted.","Sleep draughts, night porridges, and calming syrups.","Gentle sleep and settling","Cool and Moist","Stilling and Sinking","Farmlands, upland plots, and monastery fields"
"Coppermint","Botanical","Sharp green mint with copper-specked stems that wakes tired circulation.","Morning tonics, cold-hand washes, and travel cordial bases.","Clean quickening","Warm and Moist","Rising and Quickening","Gardens, market plots, and sunny streambanks"
"Bruisewort Flower","Botanical","Purple-yellow flower that draws dark bruising toward the skin and disperses it.","Bruise salves, sprain poultices, and swelling washes.","Dispersion of trapped hurt","Cool and Moist","Opening and Turning","Roadsides, hayfields, and stone walls"
"Softsalt Bloom","Geological","Powdery white salt gathered from shaded cave lips; softens harsh mixtures.","Bath soaks, sore-foot powders, and calming salves.","Softening and mild fixation","Cool and Dry","Closing and Stilling","Cave mouths, salt springs, and shaded cliffs"
"Hearthsage","Botanical","Gray-green cooking herb whose smoke and infusion comfort chill and heaviness.","Chill draughts, cough steam, and winter chest rubs.","Domestic warmth and breath comfort","Warm and Dry","Rising and Closing","Kitchen gardens, dry hills, and monastery yards"
"Pearl Oat","Botanical","Pale oat with a pearly hull that soothes raw stomach and frayed temper.","Stomach draughts, child-safe restoratives, and bland convalescent gruels.","Soothing nourishment","Cool and Moist","Closing and Sinking","Fields, terraces, and cool farm valleys"
"Glasswort Ash","Alchemical","Fine ash made from salt-loving stems; clears sourness and steadies digestion.","Indigestion powders, sour-belly draughts, and kitchen antacids.","Sourness correction","Cool and Dry","Turning and Closing","Prepared from coastal glasswort"
"Thimbleberry Pulp","Botanical","Soft red fruit pulp that restores sweetness after faintness or long hunger.","Faintness cordials, mild blood-sugar tonics, and recovery syrups.","Gentle restoration","Warm and Moist","Opening and Rising","Hedgerows, forest edges, and abandoned farms"
"Bluejoint Reed","Botanical","Blue-banded marsh reed whose pith cools swollen joints and overworked wrists.","Joint wraps, tendon soaks, and craftworker's hand salves.","Cooling flexibility","Cool and Moist","Opening and Stilling","Marshes, millponds, and slow rivers"
"Redroot Pepper","Botanical","Small red root with a peppery scent that brings blood to cold muscles.","Muscle rubs, warming oils, and cold-cramp salves.","Surface warmth and circulation","Warm and Dry","Quickening and Rising","Sunny slopes, scrubland, and spice gardens"
"Mooncurd Whey","Animal-Botanical","Pale whey cultured overnight in clean moonwater; mild and settling.","Sleeplessness draughts, upset-stomach tonics, and fever recovery drinks.","Settling and soft nourishment","Cool and Moist","Stilling and Closing","Prepared in dairies and household stillrooms"
"Bee-Lantern Wax","Animal-Botanical","Golden wax that melts cleanly and carries warmth slowly through salves.","Joint balms, cracked-hand waxes, and slow-release rubs.","Slow carrying warmth","Warm and Moist","Closing and Sinking","Hives, orchards, and herb gardens"
"Ashen Comfrey","Botanical","Dusty-leaved plant that encourages shallow hurts to close evenly.","Minor-cut salves, cracked-skin balms, and scrape washes.","Surface mending","Cool and Moist","Closing and Quickening","Ditches, cottage gardens, and old walls"
"Lambsbreath Wool","Animal","Washed lamb wool that holds vapors softly against the body.","Chest compresses, warming pads, and scented sleep sachets.","Gentle retention","Warm and Moist","Closing and Stilling","Sheepfolds, hill farms, and spinning houses"
"Clearfen Cress","Botanical","Peppery watercress that freshens a heavy mouth and lightens sluggish digestion.","After-meal bitters, breath tonics, and spring cleansing draughts.","Freshening and light digestion","Cool and Moist","Opening and Rising","Clean streams, spring channels, and water gardens"
"Stoneapple Peel","Botanical","Thick yellow fruit peel that dries griping belly-water without harshness.","Loose-belly powders, travel draughts, and drying cordials.","Gentle drying and retention","Warm and Dry","Closing and Sinking","Orchards, hill farms, and market gardens"
"Silver Nettle","Botanical","Soft-stinging nettle with pale hairs; strengthens the blood after long weariness.","Fatigue tonics, winter soups, and pale-blood draughts.","Green vigor and replenishment","Warm and Dry","Quickening and Rising","Hedgerows, barnyards, and disturbed soil"
"Honeyvine Tendril","Botanical","Sweet curling vine that harmonizes bitter medicines and eases throat scrape.","Cough syrups, throat lozenges, and child-safe draughts.","Sweet binding and throat comfort","Warm and Moist","Closing and Opening","Fences, orchards, and sunny garden walls"
"Feverfew Glass","Alchemical","Clear brittle flakes made by drying feverfew dew on pale glass.","Head-cooling powders, temple washes, and light-sensitive headache draughts.","Head cooling and brightness softening","Cool and Dry","Stilling and Turning","Prepared from feverfew beds and glass plates"
"Candlecap Mushroom","Fungal","Small cream fungus with a waxy cap that eases evening worry and jaw tension.","Calming teas, tooth-grinding draughts, and sleep-support tinctures.","Evening release","Cool and Moist","Stilling and Opening","Cellars, old stumps, and shaded gardens"
"Kettlethorn Seed","Botanical","Tiny brown seed that settles wind in the belly when cracked and steeped.","Gas-easing teas, colic draughts, and after-feast bitters.","Wind settling","Warm and Dry","Sinking and Turning","Kitchen gardens, dry banks, and herb rows"
"Pale Reed Sugar","Botanical","Unrefined white reed sugar that carries quick comfort without much heat.","Faintness drops, bitter masking syrups, and restorative bases.","Quick sweetness and carrying","Warm and Moist","Rising and Opening","River farms, reed fields, and refineries"
"Mossmallow Root","Botanical","Spongy white root that lends slipperiness to raw throats and irritated stomachs.","Throat syrups, cough draughts, and stomach-coating teas.","Mucous soothing","Cool and Moist","Closing and Sinking","Wet meadows, pond margins, and herb gardens"
"Rustleaf Tea","Botanical","Orange-edged leaf that lends mild steadiness to shaking hands and weak knees.","Convalescent teas, elder's steadiness draughts, and post-fever tonics.","Quiet steadiness","Warm and Dry","Sinking and Closing","Autumn woods, hedgerows, and temple gardens"
"Milkstone Powder","Geological","Soft chalk-white stone powder that cools sour stomach and binds harsh tinctures.","Stomach powders, skin-dusting powders, and salve stabilizers.","Mild alkalinity and binding","Cool and Dry","Closing and Sinking","Chalk hills, sea cliffs, and old quarries"
"Tallowroot","Botanical","Fat, cream-colored root that enriches salve bases and softens cracked skin.","Hand balms, heel salves, and winter skin ointments.","Skin nourishment","Warm and Moist","Closing and Sinking","Root cellars, loamy fields, and cottage plots"
"Sunlentil","Botanical","Small golden pulse that restores everyday stamina without sharpness.","Worker's broths, fatigue draughts, and long-road rations.","Steady nourishment","Warm and Dry","Quickening and Closing","Dry farms, terraces, and sunny lowlands"
"Rainwashed Clover","Botanical","Three-lobed clover gathered after clean rain; freshens heavy limbs and mood.","Tired-leg teas, cleansing spring draughts, and mild lymph washes.","Fresh circulation","Cool and Moist","Opening and Rising","Meadows, pastures, and rain-fed fields"
"Hollowbone Lime","Animal-Alchemical","Fine lime from naturally shed bird bones, calcined until clean and pale.","Tooth powders, nail-strengthening pastes, and mineralizing draughts.","Clean hardening","Dry","Closing and Sinking","Prepared from lawful shed bones"
"Greenpitch Resin","Botanical","Pine-green resin that seals small cracks and keeps warming salves from thinning.","Cracked-skin salves, joint rubs, and foot balms.","Resinous sealing","Warm and Dry","Closing and Holding","Pine woods, resin farms, and mountain groves"
"Sweetfen Seed","Botanical","Fragrant marsh seed that eases nausea and makes bitter draughts bearable.","Nausea teas, travel drops, and stomach-sweetening tinctures.","Queasiness easing","Warm and Moist","Turning and Sinking","Marsh edges, herb gardens, and lowland farms"
"Drowsy Poppy Husk","Botanical","Empty pale seed husk that invites sleep when used sparingly and lawfully.","Sleep draughts, pain-dulling syrups, and night cordials.","Sleep invitation and pain dulling","Cool and Dry","Stilling and Sinking","Licensed gardens, apothecary plots, and temple farms"
"White Willowdew","Elemental-Botanical","Dew gathered from willow leaves before sunrise; carries cool relief lightly.","Fever cloths, headache washes, and eye-cooling compresses.","Cool relief and gentle flow","Cool and Moist","Stilling and Opening","Willow groves, riverbanks, and dawn gardens"
"Quiltmoss","Botanical","Thick cushion moss that holds moisture and comfort against tender skin.","Burn poultices, blister pads, and cooling wound covers.","Moist protection","Cool and Moist","Closing and Stilling","Old stones, wellsides, and shaded roofs"
"Copperleaf Vinegar","Alchemical","Mild vinegar steeped with copperleaf until it tingles and cuts heaviness.","Muscle soaks, foot baths, and sluggish-skin washes.","Sharp awakening and cleansing","Warm and Dry","Opening and Quickening","Prepared in household stillrooms"
"Butterbloom Petal","Botanical","Yellow petal with a soft buttery scent that comforts chapped lips and skin.","Lip balms, windburn salves, and gentle beauty ointments.","Surface comfort","Warm and Moist","Closing and Stilling","Meadows, orchards, and bee gardens"
"Evening Pearskin","Botanical","Dusky pear peel that cools the stomach after rich food and late suppers.","After-feast draughts, mild nausea syrups, and digestion cordials.","Sweet cooling and settling","Cool and Moist","Sinking and Turning","Orchards, kitchen yards, and market gardens"
"Breadroot Crumb","Botanical","Starchy dried root crumb that gives thin draughts body and patient strength.","Convalescent draughts, hunger tonics, and child-safe medicine bases.","Plain sustenance and thickening","Warm and Moist","Closing and Sinking","Root gardens, cellars, and upland farms"
"Softshell Meal","Animal-Alchemical","Fine meal from empty eggshells, washed and calcined until clean.","Bone-strength draughts, tooth powders, and salve stabilizers.","Mineral support and smoothing","Cool and Dry","Closing and Sinking","Prepared from poultry yards and kitchens"
"Lavender Ash Salt","Alchemical","Pale violet-gray salt made from lavender ash; steadies anxious breath.","Calming baths, sleep powders, and tension-headache sachets.","Breath steadiness","Cool and Dry","Stilling and Closing","Prepared from lavender beds"
"Ox-Heart Bean","Botanical","Large red-brown bean that restores slow strength after heavy work.","Laborer's stews, fatigue tonics, and recovery porridges.","Hearty endurance","Warm and Dry","Sinking and Quickening","Farm plots, market gardens, and monastery fields"
"Satinseed Oil","Botanical","Pale oil pressed from smooth black seeds; carries soothing virtues through skin.","Massage oils, joint salves, and dry-skin rubs.","Skinward carrying and glide","Moist","Opening and Sinking","Seed presses, gardens, and warm valleys"
"Coldcup Flower","Botanical","Tiny blue cup-shaped flower that calms flushed skin and hot rashes.","Rash washes, fever cloths, and cooling skin salves.","Surface cooling","Cool and Moist","Stilling and Closing","Springs, shaded lawns, and wet meadows"
"Numbroot Fiber","Botanical","Stringy gray root that dulls sharp tooth and gum pain when carefully steeped.","Toothache drops, gum washes, and surgical rinse bases.","Local dulling","Cool and Dry","Stilling and Sinking","Rocky banks, old orchards, and apothecary gardens"
"Goldgrass Pollen","Botanical","Fine yellow pollen that lifts ordinary tiredness and brightens weak appetite.","Morning cordials, appetite draughts, and light fatigue powders.","Light vigor and appetite","Warm and Dry","Rising and Quickening","Meadows, hayfields, and sunny roadsides"
"Soothefern Frond","Botanical","Velvety green fern whose fronds soften cramps and tight belly-pain.","Cramp teas, belly poultices, and moon-time draughts.","Spasm softening","Cool and Moist","Opening and Stilling","Shaded ravines, damp forests, and wellhouses"
"Clean Rainwater","Elemental","Fresh rain caught before it touches roof or road; carries simple cleansing.","Eye washes, wound rinses, and gentle cleansing draught bases.","Plain cleansing and receptivity","Cool and Moist","Opening and Sinking","Collected in clean bowls during rain"
"Ambergrain Malt","Botanical-Alchemical","Lightly sprouted grain dried to preserve warmth and sweetness.","Weakness tonics, nursing draughts, and long-keeping syrup bases.","Warm nourishment and preservation","Warm and Moist","Opening and Closing","Malthouses, farms, and granaries"
"Quietcup Chamomile","Botanical","Small white flower with a gold heart that settles children and adults alike.","Sleep teas, stomach-soothing draughts, and tension washes.","Gentle quiet and stomach ease","Cool and Moist","Stilling and Closing","Cottage gardens, orchards, and monastery yards"
"Hearthclove Bud","Botanical","Dark aromatic bud that warms chilled fingers and wakes dull digestion.","Warming cordials, tooth powders, and winter digestion draughts.","Piercing warmth","Warm and Dry","Quickening and Opening","Spice gardens, warm islands, and trade markets"
"Pale Snail Mucilage","Animal","Clear trail-gel from garden snails, purified and thinned for delicate salves.","Burn gels, scar-softening salves, and cracked-skin treatments.","Moist repair and glide","Cool and Moist","Closing and Opening","Gardens, greenhouses, and damp walls"
"Red Clay Poultice Earth","Geological","Fine red clay that draws soreness outward and gives poultices firm body.","Muscle poultices, swelling packs, and sprain wraps.","Drawing and form","Warm and Dry","Sinking and Opening","Riverbanks, clay pits, and tilled fields"
"Nightmilk Seed","Botanical","Pale seed that releases a creamy infusion for irritated stomach and throat.","Throat draughts, acid-soothing teas, and bedtime restoratives.","Milky soothing","Cool and Moist","Closing and Stilling","Moonlit gardens, granaries, and lowland fields"
"Field-Salt Pinch","Alchemical","Mild gray salt prepared from clean vegetable ash and field clay.","Everyday fixation, broth tonics, and sweat-recovery draughts.","Mineral balance and fixation","Dry","Closing and Sinking","Prepared from ash, clay, and clean water"
"Greenbriar Thorn Tip","Botanical","Tender thorn tip that sharpens dull skin and helps old swelling move.","Old-sprain oils, sluggish bruise rubs, and circulation washes.","Pricking movement","Warm and Dry","Quickening and Opening","Hedges, bramble patches, and woodland edges"
